Macrotrends Data Download

China Literacy Rate 1982-2020


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Literacy Rate, Annual Change, 
1982-12-31,65.5051
1990-12-31,77.7851,12.28
2000-12-31,90.9202,13.14
2010-12-31,95.1245,4.2
2018-12-31,96.8409,1.72
