lemma,poscode,surface
Certified Internal Auditor (CIA),3,Certified Internal Auditor (CIA)
Chartered Accountant (SG),3,Chartered Accountant (SG)
Chartered Market Technician (CMT),3,Chartered Market Technician (CMT)
Chartered Alternative Investment Analyst (CAIA),3,Chartered Alternative Investment Analyst (CAIA)
Chartered Financial Analyst (CFA),3,Chartered Financial Analyst (CFA)
Certified Public Accountant (CPA),3,Certified Public Accountant (CPA)
