lemma,poscode,surface
Macau,3,Macau
Hong Kong,3,Hong Kong
Kuala Lumpur,3,Kuala Lumpur
Singapore,3,Singapore
Delhi,3,Delhi
Mumbai,3,Mumbai
New York,3,New York
