lemma,poscode,surface
Python,3,Python
Java,3,Java
Javascript,3,Javascript
C#,3,C#
C/C++,3,C/C++
PHP,3,PHP
R,3,R
Objective-C,3,Objective-C
Swift,3,Swift
TypeScript,3,TypeScript
Matlab,3,Matlab
Kotlin,3,Kotlin
Go,3,Go
Ruby,3,Ruby
VBA,3,VBA
Scala,3,Scala
Visual Basic,3,Visual Basic
Dart,3,Dart
Ada,3,Ada
Lua,3,Lua
Perl,3,Perl
Abap,3,Abap
Julia,3,Julia
Cobol,3,Cobol
Groovy,3,Groovy
Haskell,3,Haskell
Delphi,3,Delphi
