,series_id,country_code,indicator_code,identifier,description,units,frequency,date,value,country
39,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,2005-01-01,3.0,United States
40,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,2004-01-01,1.6,United States
41,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,2003-01-01,2.2,United States
42,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,2002-01-01,3.0,United States
43,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,2001-01-01,4.6,United States
44,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,2000-01-01,6.8,United States
45,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1999-01-01,6.5,United States
46,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1998-01-01,7.1,United States
47,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1997-01-01,6.6,United States
48,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1996-01-01,6.3,United States
49,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1995-01-01,6.6,United States
50,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1994-01-01,4.9,United States
51,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1993-01-01,3.5,United States
52,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1992-01-01,3.9,United States
53,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1991-01-01,4.9,United States
54,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1990-01-01,6.0,United States
55,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1989-01-01,6.7,United States
56,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1988-01-01,5.6,United States
57,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1987-01-01,5.6,United States
58,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1986-01-01,6.2,United States
59,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1985-01-01,6.6,United States
60,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1984-01-01,8.1,United States
61,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1983-01-01,6.6,United States
62,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1982-01-01,8.2,United States
63,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1981-01-01,8.6,United States
64,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1980-01-01,5.7,United States
65,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1979-01-01,4.0,United States
66,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1978-01-01,1.9,United States
67,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1977-01-01,0.6,United States
68,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1976-01-01,1.3,United States
69,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1975-01-01,-1.3,United States
70,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1974-01-01,1.7,United States
71,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1973-01-01,2.4,United States
72,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1972-01-01,0.9,United States
73,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1971-01-01,0.6,United States
74,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1970-01-01,2.3,United States
75,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1969-01-01,2.9,United States
76,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1968-01-01,1.9,United States
77,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1967-01-01,2.4,United States
78,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1966-01-01,2.6,United States
79,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1965-01-01,2.6,United States
80,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1964-01-01,3.0,United States
81,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1963-01-01,3.4,United States
82,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1962-01-01,3.2,United States
83,43868,US,124,US.124.A.01,United States: Interest Rate [United States: Interest rates: Real interest rate],%pa,A,1961-01-01,3.1,United States
84,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2014-01-01,-1.3,United Kingdom
85,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2013-01-01,-1.4,United Kingdom
86,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2012-01-01,-1.1,United Kingdom
87,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2011-01-01,-1.5,United Kingdom
88,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2010-01-01,-1.0,United Kingdom
89,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2009-01-01,-1.0,United Kingdom
90,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2008-01-01,1.7,United Kingdom
91,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2007-01-01,2.9,United Kingdom
92,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2006-01-01,1.8,United Kingdom
93,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2005-01-01,2.1,United Kingdom
94,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2004-01-01,1.8,United Kingdom
95,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2003-01-01,1.4,United Kingdom
96,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2002-01-01,1.8,United Kingdom
97,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2001-01-01,4.1,United Kingdom
98,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,2000-01-01,4.0,United Kingdom
99,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1999-01-01,4.4,United Kingdom
100,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1998-01-01,6.2,United Kingdom
101,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1997-01-01,5.4,United Kingdom
102,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1996-01-01,1.8,United Kingdom
103,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1995-01-01,-4.1,United Kingdom
104,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1994-01-01,4.0,United Kingdom
105,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1993-01-01,3.2,United Kingdom
106,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1992-01-01,6.0,United Kingdom
107,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1991-01-01,5.0,United Kingdom
108,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1990-01-01,6.4,United Kingdom
109,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1989-01-01,5.5,United Kingdom
110,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1988-01-01,3.7,United Kingdom
111,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1987-01-01,4.1,United Kingdom
112,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1986-01-01,6.3,United Kingdom
113,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1985-01-01,6.4,United Kingdom
114,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1984-01-01,4.4,United Kingdom
115,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1983-01-01,4.5,United Kingdom
116,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1982-01-01,4.2,United Kingdom
117,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1981-01-01,1.5,United Kingdom
118,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1980-01-01,-2.8,United Kingdom
119,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1979-01-01,-0.3,United Kingdom
120,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1978-01-01,-2.1,United Kingdom
121,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1977-01-01,-4.2,United Kingdom
122,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1976-01-01,-3.5,United Kingdom
123,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1975-01-01,-12.2,United Kingdom
124,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1974-01-01,-5.3,United Kingdom
125,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1973-01-01,-0.4,United Kingdom
126,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1972-01-01,0.3,United Kingdom
127,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1971-01-01,-0.4,United Kingdom
128,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1970-01-01,-0.8,United Kingdom
129,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1969-01-01,0.6,United Kingdom
130,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1968-01-01,2.1,United Kingdom
131,43586,UK,124,UK.124.A.01,United Kingdom: Interest Rate [United Kingdom: Interest rates: Real interest rate],%pa,A,1967-01-01,2.7,United Kingdom
132,42232,TR,124,TR.124.M.03,Turkey: Interest Rate [Turkey: Interest Rates: Central Bank Policy Rate],%pa,M,2020-06-01,6.75,Turkey
133,42232,TR,124,TR.124.M.03,Turkey: Interest Rate [Turkey: Interest Rates: Central Bank Policy Rate],%pa,M,2020-05-01,6.75,Turkey
134,42232,TR,124,TR.124.M.03,Turkey: Interest Rate [Turkey: Interest Rates: Central Bank Policy Rate],%pa,M,2020-04-01,7.25,Turkey
135,42232,TR,124,TR.124.M.03,Turkey: Interest Rate [Turkey: Interest Rates: Central Bank Policy Rate],%pa,M,2020-03-01,8.25,Turkey
136,42232,TR,124,TR.124.M.03,Turkey: Interest Rate [Turkey: Interest Rates: Central Bank Policy Rate],%pa,M,2020-02-01,9.25,Turkey
137,42232,TR,124,TR.124.M.03,Turkey: Interest Rate [Turkey: Interest Rates: Central Bank Policy Rate],%pa,M,2020-01-01,9.75,Turkey
