,series_id,country_code,indicator_code,identifier,description,units,frequency,date,value,country
40,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,2000-01-01,4.0,United States
41,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1999-01-01,4.2,United States
42,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1998-01-01,4.5,United States
43,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1997-01-01,5.0,United States
44,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1996-01-01,5.5,United States
45,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1995-01-01,5.7,United States
46,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1994-01-01,6.1,United States
47,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1993-01-01,6.9,United States
48,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1992-01-01,7.5,United States
49,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1991-01-01,6.8,United States
50,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1990-01-01,5.6,United States
51,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1989-01-01,5.3,United States
52,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1988-01-01,5.5,United States
53,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1987-01-01,6.2,United States
54,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1986-01-01,7.0,United States
55,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1985-01-01,7.2,United States
56,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1984-01-01,7.5,United States
57,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1983-01-01,9.6,United States
58,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1982-01-01,9.7,United States
59,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1981-01-01,7.6,United States
60,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1980-01-01,7.1,United States
61,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1979-01-01,5.8,United States
62,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1978-01-01,6.1,United States
63,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1977-01-01,7.1,United States
64,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1976-01-01,7.7,United States
65,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1975-01-01,8.5,United States
66,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1974-01-01,5.6,United States
67,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1973-01-01,4.9,United States
68,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1972-01-01,5.6,United States
69,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1971-01-01,5.9,United States
70,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1970-01-01,4.9,United States
71,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1969-01-01,3.5,United States
72,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1968-01-01,3.6,United States
73,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1967-01-01,3.8,United States
74,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1966-01-01,3.8,United States
75,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1965-01-01,4.5,United States
76,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1964-01-01,5.2,United States
77,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1963-01-01,5.7,United States
78,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1962-01-01,5.5,United States
79,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1961-01-01,6.7,United States
80,43958,US,200,US.200.A.01,United States: Unemployment Rate [United States: National estimate: Unemployment rate],%,A,1960-01-01,5.5,United States
81,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2019-01-01,3.7,United Kingdom
82,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2018-01-01,4.0,United Kingdom
83,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2017-01-01,4.3,United Kingdom
84,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2016-01-01,4.8,United Kingdom
85,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2015-01-01,5.3,United Kingdom
86,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2014-01-01,6.1,United Kingdom
87,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2013-01-01,7.5,United Kingdom
88,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2012-01-01,7.9,United Kingdom
89,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2011-01-01,8.0,United Kingdom
90,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2010-01-01,7.8,United Kingdom
91,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2009-01-01,7.5,United Kingdom
92,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2008-01-01,5.6,United Kingdom
93,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2007-01-01,5.3,United Kingdom
94,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2006-01-01,5.3,United Kingdom
95,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2005-01-01,4.8,United Kingdom
96,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2004-01-01,4.6,United Kingdom
97,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2003-01-01,4.8,United Kingdom
98,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2002-01-01,5.0,United Kingdom
99,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2001-01-01,4.7,United Kingdom
100,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,2000-01-01,5.6,United Kingdom
101,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,1999-01-01,6.0,United Kingdom
102,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,1998-01-01,6.2,United Kingdom
103,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,1997-01-01,7.1,United Kingdom
104,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,1996-01-01,8.2,United Kingdom
105,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,1995-01-01,8.7,United Kingdom
106,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,1994-01-01,9.7,United Kingdom
107,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,1993-01-01,10.3,United Kingdom
108,43667,UK,200,UK.200.A.01,United Kingdom: Unemployment Rate [United Kingdom: National estimate: Unemployment rate],%,A,1992-01-01,9.8,United Kingdom
