country_code,country,gdp_per_capita,gdp_per_capita_from_date,gdp_per_capita_to_date,labor_force_participation_rate,labor_force_participation_rate_from_date,labor_force_participation_rate_to_date,imports,imports_from_date,imports_to_date,exports,exports_from_date,exports_to_date,internet_speed,internet_speed_from_date,internet_speed_to_date,capital_flows,capital_flows_from_date,capital_flows_to_date,remittances,remittances_from_date,remittances_to_date,tourism_revenue,tourism_revenue_from_date,tourism_revenue_to_date,electricity_production,electricity_production_from_date,electricity_production_to_date,steel_production,steel_production_from_date,steel_production_to_date,corporate_tax_rate,corporate_tax_rate_from_date,corporate_tax_rate_to_date,inflation_rate,inflation_rate_from_date,inflation_rate_to_date,interest_rate,interest_rate_from_date,interest_rate_to_date,unemployment_rate,unemployment_from_date,unemployment_to_date,population,population_from_date,population_to_date
IL,Israel,20085,1960-01-01,2019-01-01,20157,1972-01-01,2019-01-01,20123,1960-01-01,2019-01-01,20026,1960-01-01,2019-01-01,20152,2017-01-01,2019-01-01,19948,1982-01-01,2019-01-01,20218,1970-01-01,2019-01-01,20240,1995-01-01,2018-01-01,20011,1971-01-01,2015-01-01,20234,2008-01-01,2018-01-01,19981,2003-01-01,2020-01-01,20135,1961-01-01,2019-01-01,20148,1995-01-01,2019-01-01,20148,1995-01-01,2019-01-01,20203,1960-01-01,2019-01-01
IN,India,18823,2004-04-01,2019-04-01,18894,1961-01-01,2018-01-01,18862,1960-01-01,2019-01-01,18758,1960-01-01,2019-01-01,18892,2017-01-01,2019-01-01,18693,2009-04-01,2013-04-01,18946,1975-01-01,2019-01-01,18963,1995-01-01,2018-01-01,18746,1950-04-01,2018-04-01,18955,2008-01-01,2018-01-01,18722,2003-01-01,2020-01-01,18874,1961-01-01,2019-01-01,18888,1978-01-01,2019-01-01,18888,1978-01-01,2019-01-01,18936,1950-04-01,2019-04-01
IR,Iran,19409,1960-01-01,2017-01-01,19459,1966-01-01,2018-01-01,19437,1950-01-01,2015-01-01,19356,1950-01-01,2015-01-01,19457,2017-01-01,2019-01-01,19307,1976-01-01,2000-01-01,19488,1991-01-01,2019-01-01,19495,1995-01-01,2017-01-01,19345,1971-01-01,2015-01-01,19489,2008-01-01,2018-01-01,19323,1998-01-01,2007-01-01,19446,1961-01-01,2019-01-01,19456,2004-01-01,2016-01-01,19456,2004-01-01,2016-01-01,19479,1960-01-01,2019-01-01
IT,Italy,20426,1960-01-01,2019-01-01,20493,1961-01-01,2019-01-01,20465,1960-01-01,2019-01-01,20365,1960-01-01,2019-01-01,20491,2017-01-01,2019-01-01,20285,1970-01-01,2019-01-01,20528,1970-01-01,2019-01-01,20553,1995-01-01,2018-01-01,20349,1960-01-01,2015-01-01,20547,2008-01-01,2018-01-01,20321,2003-01-01,2019-01-01,20475,1961-01-01,2019-01-01,20489,1989-01-01,2019-01-01,20489,1989-01-01,2019-01-01,20517,1960-01-01,2019-01-01
JO,Jordan,21170,1965-01-01,2019-01-01,21217,1961-01-01,2019-01-01,21194,1960-01-01,2019-01-01,21127,1960-01-01,2019-01-01,21215,2017-01-01,2019-01-01,21084,1999-01-01,2018-01-01,21250,1972-01-01,2019-01-01,21260,1995-01-01,2018-01-01,21117,1971-01-01,2015-01-01,21255,2008-01-01,2018-01-01,21099,2003-01-01,2018-01-01,21201,1970-01-01,2019-01-01,21211,1997-01-01,2019-01-01,21211,1997-01-01,2019-01-01,21240,1952-01-01,2019-01-01
JP,Japan,20905,1960-01-01,2019-01-01,20962,1960-01-01,2019-01-01,20937,1960-01-01,2019-01-01,20851,1960-01-01,2019-01-01,20959,2017-01-01,2019-01-01,20783,1996-01-01,2019-01-01,21009,1977-01-01,2019-01-01,21033,1995-01-01,2018-01-01,20836,1960-01-01,2015-01-01,21027,2008-01-01,2018-01-01,20809,2003-01-01,2020-01-01,20946,1961-01-01,2019-01-01,20958,1961-01-01,2017-01-01,20958,1961-01-01,2017-01-01,20996,1960-01-01,2019-01-01
KE,Kenya,21669,2005-01-01,2019-01-01,21729,1990-01-01,2025-01-01,21702,1996-01-01,2019-01-01,21600,1996-01-01,2019-01-01,21727,2017-01-01,2019-01-01,21535,1975-01-01,2019-01-01,21761,1970-01-01,2019-01-01,21773,2000-01-01,2016-01-01,21588,1971-01-01,2015-01-01,21767,2008-01-01,2018-01-01,21558,2012-01-01,2020-01-01,21710,1961-01-01,2018-01-01,21724,1971-01-01,2018-01-01,21724,1971-01-01,2018-01-01,21751,1950-01-01,2025-01-01
KR,South Korea,38031,1960-01-01,2019-01-01,38100,1960-01-01,2019-01-01,38068,1960-01-01,2019-01-01,37964,1960-01-01,2019-01-01,38098,2017-01-01,2019-01-01,37872,1998-01-01,2019-01-01,38171,1976-01-01,2019-01-01,38192,1995-01-01,2018-01-01,37946,1971-01-01,2015-01-01,38184,2008-01-01,2018-01-01,37915,2003-01-01,2020-01-01,38080,1961-01-01,2019-01-01,38094,1996-01-01,2019-01-01,38094,1996-01-01,2019-01-01,38156,1960-01-01,2019-01-01
LK,Sri Lanka,38846,1960-01-01,2019-01-01,38910,1963-01-01,2019-01-01,38886,1960-01-01,2019-01-01,38784,1960-01-01,2019-01-01,38908,2017-01-01,2019-01-01,38717,1995-01-01,2018-01-01,38961,1996-01-01,2019-01-01,38975,1995-01-01,2018-01-01,38768,1971-01-01,2015-01-01,38969,2008-01-01,2018-01-01,38745,2003-01-01,2020-01-01,38892,1961-01-01,2019-01-01,38906,2001-01-01,2019-01-01,38906,2001-01-01,2019-01-01,38949,1960-01-01,2019-01-01
LY,Libya,23511,1960-01-01,2020-01-01,23555,1990-01-01,2025-01-01,23536,1950-01-01,2016-01-01,23462,1950-01-01,2016-01-01,23553,2017-01-01,2019-01-01,23416,2004-01-01,2015-01-01,23577,2000-01-01,2006-01-01,23585,2000-01-01,2016-01-01,23455,1971-01-01,2015-01-01,23580,2008-01-01,2018-01-01,23431,2003-01-01,2019-01-01,23540,1965-01-01,2013-01-01,23552,2000-01-01,2014-01-01,23552,2000-01-01,2014-01-01,23572,1950-01-01,2025-01-01
MA,Morocco,27840,1990-01-01,2019-01-01,27902,1960-01-01,2017-01-01,27876,1960-01-01,2019-01-01,27767,1960-01-01,2019-01-01,27900,2017-01-01,2019-01-01,27702,1996-01-01,2019-01-01,27945,1975-01-01,2019-01-01,27957,1995-01-01,2018-01-01,27756,1971-01-01,2015-01-01,27951,2008-01-01,2018-01-01,27730,2013-01-01,2019-01-01,27883,1961-01-01,2019-01-01,27899,1990-01-01,2018-01-01,27899,1990-01-01,2018-01-01,27934,1950-01-01,2025-01-01
MD,Moldova,27070,1995-01-01,2019-01-01,27118,1989-01-01,2019-01-01,27096,1992-01-01,2019-01-01,27027,1992-01-01,2019-01-01,27116,2017-01-01,2019-01-01,26977,1994-01-01,2019-01-01,27152,1995-01-01,2019-01-01,27163,1995-01-01,2018-01-01,27015,1990-01-01,2015-01-01,27159,2008-01-01,2018-01-01,26995,2015-01-01,2019-01-01,27101,1992-01-01,2019-01-01,27112,1996-01-01,2019-01-01,27112,1996-01-01,2019-01-01,27143,1960-01-01,2019-01-01
ME,Montenegro,27552,2000-01-01,2019-01-01,27582,2007-01-01,2019-01-01,27564,2006-01-01,2019-01-01,27517,2006-01-01,2019-01-01,27580,2017-01-01,2019-01-01,27478,2007-01-01,2019-01-01,27609,2007-01-01,2019-01-01,27623,2007-01-01,2018-01-01,27507,2005-01-01,2015-01-01,27619,2008-01-01,2018-01-01,27490,2005-01-01,2019-01-01,27570,2006-01-01,2018-01-01,27578,2005-01-01,2018-01-01,27578,2005-01-01,2018-01-01,27600,1960-01-01,2019-01-01
MK,FYR Macedonia,13822,1990-01-01,2019-01-01,13856,1991-01-01,2019-01-01,13840,1992-01-01,2019-01-01,13787,1992-01-01,2019-01-01,13853,2017-01-01,2019-01-01,13750,1998-01-01,2019-01-01,13881,1996-01-01,2019-01-01,13889,1995-01-01,2018-01-01,13780,1990-01-01,2015-01-01,13884,2008-01-01,2018-01-01,13762,2003-01-01,2020-01-01,13844,1994-01-01,2019-01-01,13852,1994-01-01,2019-01-01,13852,1994-01-01,2019-01-01,13873,1960-01-01,2019-01-01
MM,Myanmar,28293,1989-04-01,2016-04-01,28331,1983-01-01,2019-01-01,28314,1948-01-01,1956-01-01,28250,1948-01-01,1956-01-01,28329,2017-01-01,2019-01-01,28198,1989-01-01,2018-01-01,28354,1987-01-01,2019-01-01,28362,1995-01-01,2018-01-01,28237,1971-01-01,2015-01-01,28358,2008-01-01,2018-01-01,28217,2017-01-01,2018-01-01,28318,1961-01-01,2019-01-01,28327,1985-01-01,2017-01-01,28327,1985-01-01,2017-01-01,28345,1983-04-01,2017-04-01
MN,Mongolia,27337,1980-01-01,2019-01-01,27396,1998-01-01,2019-01-01,27367,1980-01-01,2019-01-01,27278,1980-01-01,2019-01-01,27394,2017-01-01,2019-01-01,27222,2008-01-01,2019-01-01,27435,1998-01-01,2019-01-01,27451,1995-01-01,2018-01-01,27264,1985-01-01,2015-01-01,27445,2008-01-01,2018-01-01,27242,2017-01-01,2020-01-01,27376,1993-01-01,2019-01-01,27390,1998-01-01,2019-01-01,27390,1998-01-01,2019-01-01,27424,1956-01-01,2019-01-01
MX,Mexico,26659,1960-01-01,2019-01-01,26727,1960-01-01,2019-01-01,26696,1960-01-01,2019-01-01,26593,1960-01-01,2019-01-01,26725,2017-01-01,2019-01-01,26513,2006-01-01,2019-01-01,26784,1979-01-01,2019-01-01,26811,1995-01-01,2018-01-01,26575,1971-01-01,2015-01-01,26802,2008-01-01,2018-01-01,26544,2003-01-01,2020-01-01,26706,1961-01-01,2019-01-01,26721,1993-01-01,2019-01-01,26721,1993-01-01,2019-01-01,26771,1960-01-01,2019-01-01
MY,Malaysia,25096,1960-01-01,2019-01-01,25163,1980-01-01,2019-01-01,25131,1960-01-01,2019-01-01,25033,1960-01-01,2019-01-01,25159,2017-01-01,2019-01-01,24963,2006-01-01,2018-01-01,25217,1975-01-01,2019-01-01,25238,1998-01-01,2019-01-01,25016,1971-01-01,2015-01-01,25230,2008-01-01,2018-01-01,24991,2003-01-01,2020-01-01,25141,1961-01-01,2019-01-01,25155,1969-01-01,2019-01-01,25155,1969-01-01,2019-01-01,25204,1960-01-01,2019-01-01
NG,Nigeria,30122,1990-01-01,2024-01-01,30178,1990-01-01,2025-01-01,30150,1960-01-01,2019-01-01,30046,1960-01-01,2019-01-01,30176,2017-01-01,2019-01-01,29974,1977-01-01,2013-01-01,30220,1977-01-01,2019-01-01,30232,2000-01-01,2016-01-01,30032,1971-01-01,2015-01-01,30226,2008-01-01,2018-01-01,30002,2003-01-01,2020-01-01,30159,1961-01-01,2019-01-01,30173,1970-01-01,2019-01-01,30173,1970-01-01,2019-01-01,30212,1950-01-01,2025-01-01
NL,Netherlands,29011,1960-01-01,2019-01-01,29068,1960-01-01,2019-01-01,29043,1960-01-01,2019-01-01,28960,1960-01-01,2019-01-01,29066,2017-01-01,2019-01-01,28895,1967-01-01,2019-01-01,29103,1970-01-01,2019-01-01,29124,1995-01-01,2018-01-01,28946,1960-01-01,2015-01-01,29120,2008-01-01,2018-01-01,28922,2003-01-01,2018-01-01,29053,1961-01-01,2019-01-01,29065,1999-01-01,2013-01-01,29065,1999-01-01,2013-01-01,29094,1949-01-01,2016-01-01
NZ,New Zealand,29392,1960-01-01,2019-01-01,29466,1986-01-01,2019-01-01,29432,1960-01-01,2019-01-01,29328,1960-01-01,2019-01-01,29462,2017-01-01,2019-01-01,29249,2000-01-01,2019-01-01,29526,1972-01-01,2019-01-01,29547,1995-01-01,2018-01-01,29310,1960-01-01,2015-01-01,29542,2008-01-01,2018-01-01,29280,2003-01-01,2020-01-01,29442,1961-01-01,2019-01-01,29458,1998-01-01,2017-01-01,29458,1998-01-01,2017-01-01,29512,1960-01-01,2019-01-01
OM,Oman,30732,1960-01-01,2019-01-01,30772,2000-01-01,2018-01-01,30749,1960-01-01,2019-01-01,30686,1960-01-01,2019-01-01,30770,2017-01-01,2019-01-01,30633,2004-01-01,2018-01-01,30803,1978-01-01,2019-01-01,30812,1996-01-01,2018-01-01,30675,1971-01-01,2015-01-01,30809,2011-01-01,2018-01-01,30650,2003-01-01,2020-01-01,30755,2001-01-01,2019-01-01,30769,1984-01-01,2017-01-01,30769,1984-01-01,2017-01-01,30791,1960-01-01,2019-01-01
PE,Peru,31972,1960-01-01,2019-01-01,32027,1961-01-01,2019-01-01,32000,1960-01-01,2019-01-01,31915,1960-01-01,2019-01-01,32025,2017-01-01,2019-01-01,31854,1985-01-01,2018-01-01,32066,1990-01-01,2019-01-01,32078,1995-01-01,2018-01-01,31900,1971-01-01,2015-01-01,32072,2008-01-01,2018-01-01,31875,2003-01-01,2020-01-01,32007,1961-01-01,2019-01-01,32021,1985-01-01,2017-01-01,32021,1985-01-01,2017-01-01,32055,1960-01-01,2019-01-01
PH,Philippines,32249,1960-01-01,2019-01-01,32316,1960-01-01,2019-01-01,32289,1960-01-01,2019-01-01,32184,1960-01-01,2019-01-01,32314,2017-01-01,2019-01-01,32113,1999-01-01,2019-01-01,32364,1977-01-01,2019-01-01,32382,1995-01-01,2018-01-01,32166,1971-01-01,2015-01-01,32376,2008-01-01,2018-01-01,32141,2003-01-01,2020-01-01,32297,1961-01-01,2019-01-01,32311,1976-01-01,2019-01-01,32311,1976-01-01,2019-01-01,32350,1960-01-01,2019-01-01
PK,Pakistan,30948,1999-04-01,2018-04-01,31007,1989-04-01,2017-04-01,30981,1960-01-01,2019-01-01,30896,1960-01-01,2019-01-01,31005,2017-01-01,2019-01-01,30831,1979-01-01,2019-01-01,31051,1976-01-01,2019-01-01,31064,1995-01-01,2018-01-01,30880,1971-01-01,2015-01-01,31058,2008-01-01,2018-01-01,30856,2003-01-01,2020-01-01,30989,1961-01-01,2019-01-01,31003,2004-01-01,2019-01-01,31003,2004-01-01,2019-01-01,31040,1980-04-01,2017-04-01
PY,Paraguay,31717,1950-01-01,2019-01-01,31772,2004-01-01,2017-01-01,31746,1960-01-01,2019-01-01,31657,1960-01-01,2019-01-01,31770,2017-01-01,2019-01-01,31605,1990-01-01,2019-01-01,31814,1975-01-01,2019-01-01,31822,1995-01-01,2018-01-01,31646,1971-01-01,2015-01-01,31817,2008-01-01,2018-01-01,31625,2003-01-01,2020-01-01,31752,1961-01-01,2019-01-01,31766,1994-01-01,2017-01-01,31766,1994-01-01,2017-01-01,31801,2001-01-01,2017-01-01
QA,Qatar,33321,1970-01-01,2019-01-01,33369,1986-01-01,2018-01-01,33345,1969-01-01,2018-01-01,33266,1969-01-01,2018-01-01,33367,2017-01-01,2019-01-01,33205,2000-01-01,2019-01-01,33404,2011-01-01,2019-01-01,33416,1999-01-01,2018-01-01,33249,1971-01-01,2015-01-01,33410,2008-01-01,2018-01-01,33225,2003-01-01,2020-01-01,33350,1980-01-01,2019-01-01,33363,2004-01-01,2019-01-01,33363,2004-01-01,2019-01-01,33395,1986-01-01,2013-01-01
RO,Romania,33604,1981-01-01,2019-01-01,33669,1966-01-01,2019-01-01,33640,1960-01-01,2019-01-01,33542,1960-01-01,2019-01-01,33666,2017-01-01,2019-01-01,33470,1993-01-01,2019-01-01,33726,1994-01-01,2019-01-01,33745,1995-01-01,2018-01-01,33528,1971-01-01,2015-01-01,33740,2008-01-01,2018-01-01,33501,2003-01-01,2020-01-01,33650,1991-01-01,2019-01-01,33664,1993-01-01,2019-01-01,33664,1993-01-01,2019-01-01,33714,1960-01-01,2019-01-01
